erp_key,bronze,schema,table,domain,dimensional_role,snowflake_candidate,fk_degree,pk_columns,row_count_afya,row_count_allos,populated_clients,silver_table,silver_domain,silver_implemented,grain
dbo.CAUSA_BOOK,dbo__CAUSA_BOOK,dbo,CAUSA_BOOK,unclassified,DEFER,,0,ID,0,0,none,,,no,
dbo.CODE_GENERATOR,dbo__CODE_GENERATOR,dbo,CODE_GENERATOR,metricas,DIM,DIM_CODE_GENERATOR,0,Id,17,26,both,code_generator,metricas,yes,
dbo.COLABORADOR,dbo__COLABORADOR,dbo,COLABORADOR,colaborador,DIM,DIM_PESSOA,0,ID,12408,8765,both,pessoa,colaborador,yes,
dbo.COLABORADOR_AREA,dbo__COLABORADOR_AREA,dbo,COLABORADOR_AREA,colaborador,BRIDGE,BRG_VINCULO_AREA,0,ID,34206,20593,both,vinculo_area,colaborador,yes,
dbo.COLABORADOR_DATA_EXTRACT,dbo__COLABORADOR_DATA_EXTRACT,dbo,COLABORADOR_DATA_EXTRACT,colaborador,DEFER,,0,,0,0,none,colaborador_data_extract,colaborador,yes,
dbo.COLABORADOR_SCORE,dbo__COLABORADOR_SCORE,dbo,COLABORADOR_SCORE,metricas,DEFER,,0,ID,0,0,none,colaborador_score,metricas,yes,
dbo.COMENTARIO,dbo__COMENTARIO,dbo,COMENTARIO,unclassified,DEFER,,0,ID,0,0,none,,,no,
dbo.COMENTARIO_AVALIADO_FORUM_SUCESSAO,dbo__COMENTARIO_AVALIADO_FORUM_SUCESSAO,dbo,COMENTARIO_AVALIADO_FORUM_SUCESSAO,avaliacao,DEFER,,0,ID,0,0,none,comentario_avaliado_forum_sucessao,avaliacao,yes,
dbo.COMPORTAMENTO,dbo__COMPORTAMENTO,dbo,COMPORTAMENTO,unclassified,DEFER,,0,ID,0,0,none,,,no,
dbo.CONFIGURACOES_GERAIS_FEEDBACK_CONTINUO,dbo__CONFIGURACOES_GERAIS_FEEDBACK_CONTINUO,dbo,CONFIGURACOES_GERAIS_FEEDBACK_CONTINUO,avaliacao,DIM,DIM_CONFIGURACOES_GERAIS_FEEDBACK_CONTINUO,0,ID,1,1,both,configuracoes_gerais_feedback_continuo,avaliacao,yes,
dbo.CONTRAMEDIDA,dbo__CONTRAMEDIDA,dbo,CONTRAMEDIDA,acao,FACT,FACT_CONTRAMEDIDA,0,ID,10748,23356,both,contramedida,acao,yes,
dbo.COTACAO_MOEDA,dbo__COTACAO_MOEDA,dbo,COTACAO_MOEDA,referencia,DEFER,,0,ID,0,0,none,cotacao_moeda,referencia,yes,
dbo.COTACAO_MOEDA_ITEM,dbo__COTACAO_MOEDA_ITEM,dbo,COTACAO_MOEDA_ITEM,remuneracao,DEFER,,0,ID,0,0,none,cotacao_moeda_item,remuneracao,yes,
dbo.CURVA_MULTIPLO,dbo__CURVA_MULTIPLO,dbo,CURVA_MULTIPLO,metricas,DIM,DIM_CURVA_MULTIPLO,0,ID,149,240,both,curva_multiplo,metricas,yes,
dbo.CURVA_PONTUACAO,dbo__CURVA_PONTUACAO,dbo,CURVA_PONTUACAO,metricas,DEFER,,0,ID,0,0,none,curva_pontuacao,metricas,yes,
dbo.CURVA_PREMIACAO,dbo__CURVA_PREMIACAO,dbo,CURVA_PREMIACAO,metricas,DIM,DIM_CURVA_PREMIACAO,0,ID,26,14,both,curva_premiacao,metricas,yes,
dbo.CalibrationGroupDiscretionary,dbo__CalibrationGroupDiscretionary,dbo,CalibrationGroupDiscretionary,metricas,DIM,DIM_CALIBRATION_GROUP_DISCRETIONARY,0,ID,54,0,afya,calibration_group_discretionary,metricas,yes,
dbo.CategoryAnalysis,dbo__CategoryAnalysis,dbo,CategoryAnalysis,metricas,DEFER,,0,Id,0,0,none,category_analysis,metricas,yes,
dbo.CauseAnalysisPermission,dbo__CauseAnalysisPermission,dbo,CauseAnalysisPermission,colaborador,DIM,DIM_CAUSE_ANALYSIS_PERMISSION,0,Id,2,0,afya,cause_analysis_permission,colaborador,yes,
dbo.Certificate,dbo__Certificate,dbo,Certificate,colaborador,DIM,DIM_CERTIFICATE,0,Id,264,57,both,certificate,colaborador,yes,
dbo.CertificateAttachment,dbo__CertificateAttachment,dbo,CertificateAttachment,colaborador,DIM,DIM_CERTIFICATE_ATTACHMENT,0,Id,202,47,both,certificate_attachment,colaborador,yes,
dbo.ChangeHistory,dbo__ChangeHistory,dbo,ChangeHistory,colaborador,DEFER,,0,Id,0,0,none,change_history,colaborador,yes,
dbo.ClassificationImpactOfLoss,dbo__ClassificationImpactOfLoss,dbo,ClassificationImpactOfLoss,sucessao,DEFER,,0,Id,0,0,none,classification_impact_of_loss,sucessao,yes,
dbo.ClassificationRiskOfLoss,dbo__ClassificationRiskOfLoss,dbo,ClassificationRiskOfLoss,sucessao,DEFER,,0,Id,0,0,none,classification_risk_of_loss,sucessao,yes,
dbo.Company,dbo__Company,dbo,Company,organizacao,DIM,DIM_COMPANY,0,Id,151,50,both,company,organizacao,yes,
dbo.ConceptDiscretionary,dbo__ConceptDiscretionary,dbo,ConceptDiscretionary,metricas,DIM,DIM_CONCEPT_DISCRETIONARY,0,Id,0,10,allos,concept_discretionary,metricas,yes,
dbo.ConsentAgreement,dbo__ConsentAgreement,dbo,ConsentAgreement,colaborador,DIM,DIM_CONSENT_AGREEMENT,0,Id,1,1,both,consent_agreement,colaborador,yes,
dbo.Country,dbo__Country,dbo,Country,unclassified,DEFER,,0,Id,0,0,none,,,no,
dbo.CurriculumAttachment,dbo__CurriculumAttachment,dbo,CurriculumAttachment,colaborador,DIM,DIM_CURRICULUM_ATTACHMENT,0,Id,77,16,both,curriculum_attachment,colaborador,yes,
dbo.CustomGradeFormation,dbo__CustomGradeFormation,dbo,CustomGradeFormation,organizacao,DIM,DIM_CUSTOM_GRADE_FORMATION,0,Id,0,72,allos,custom_grade_formation,organizacao,yes,
dbo.CustomMessages,dbo__CustomMessages,dbo,CustomMessages,plataforma,EXCLUDE,,0,Id,15,378,both,,,no,
dbo.CustomerBoundTranslateTag,dbo__CustomerBoundTranslateTag,dbo,CustomerBoundTranslateTag,referencia,REF,REF_CUSTOMER_BOUND_TRANSLATE_TAG,0,Id,49,80,both,customer_bound_translate_tag,referencia,yes,
dbo.DELIBERACAO_FORUM_AVALIADO,dbo__DELIBERACAO_FORUM_AVALIADO,dbo,DELIBERACAO_FORUM_AVALIADO,organizacao,DEFER,,0,ID,0,0,none,deliberacao_forum_avaliado,organizacao,yes,
dbo.DIARIO_DE_BORDO,dbo__DIARIO_DE_BORDO,dbo,DIARIO_DE_BORDO,acao,DEFER,,0,ID,0,0,none,diario_de_bordo,acao,yes,
dbo.DIRETRIZ,dbo__DIRETRIZ,dbo,DIRETRIZ,metricas,DIM,DIM_DIRETRIZ,0,ID,181,11,both,diretriz,metricas,yes,
dbo.DIRETRIZ_BOOK,dbo__DIRETRIZ_BOOK,dbo,DIRETRIZ_BOOK,unclassified,DEFER,,0,ID,0,0,none,,,no,
dbo.DashboardLayoutMatrix,dbo__DashboardLayoutMatrix,dbo,DashboardLayoutMatrix,plataforma,EXCLUDE,,0,Id,5,3,both,,,no,
dbo.DeliberationOption,dbo__DeliberationOption,dbo,DeliberationOption,avaliacao,DEFER,,0,Id,0,0,none,deliberation_option,avaliacao,yes,
dbo.Demand,dbo__Demand,dbo,Demand,colaborador,DEFER,,0,Id,0,0,none,demand,colaborador,yes,
dbo.DemandsParticipants,dbo__DemandsParticipants,dbo,DemandsParticipants,colaborador,DEFER,,0,Demand_Id|Employee_Id,0,0,none,demands_participants,colaborador,yes,
dbo.Dimensao,dbo__Dimensao,dbo,Dimensao,metricas,DEFER,,0,Id,0,0,none,dimensao,metricas,yes,
dbo.DiscretionaryScoreImport,dbo__DiscretionaryScoreImport,dbo,DiscretionaryScoreImport,colaborador,FACT,FACT_DISCRETIONARY_SCORE_IMPORT,0,,4251,9064,both,discretionary_score_import,colaborador,yes,
dbo.Dreams,dbo__Dreams,dbo,Dreams,colaborador,DIM,DIM_DREAMS,0,Id,257,96,both,dreams,colaborador,yes,
dbo.EFETIVIDADE_ACAO,dbo__EFETIVIDADE_ACAO,dbo,EFETIVIDADE_ACAO,acao,DIM,DIM_EFETIVIDADE_ACAO,0,ID,239,2,both,efetividade_acao,acao,yes,
dbo.EMAIL_ENVIADO,dbo__EMAIL_ENVIADO,dbo,EMAIL_ENVIADO,unclassified,DEFER,,0,,0,0,none,,,no,
dbo.EXPRESSAO_CALCULO_META,dbo__EXPRESSAO_CALCULO_META,dbo,EXPRESSAO_CALCULO_META,metricas,FACT,FACT_EXPRESSAO_CALCULO,0,ID,27432,50000,both,expressao_calculo,metricas,yes,
dbo.Education,dbo__Education,dbo,Education,colaborador,FACT,FACT_EDUCATION,0,Id,783,238,both,education,colaborador,yes,
dbo.EducationAttachment,dbo__EducationAttachment,dbo,EducationAttachment,colaborador,DIM,DIM_EDUCATION_ATTACHMENT,0,Id,287,52,both,education_attachment,colaborador,yes,
dbo.EffectivenessEvaluation,dbo__EffectivenessEvaluation,dbo,EffectivenessEvaluation,avaliacao,DEFER,,0,Id,0,0,none,effectiveness_evaluation,avaliacao,yes,
dbo.EligibleDiscretionary,dbo__EligibleDiscretionary,dbo,EligibleDiscretionary,remuneracao,FACT,FACT_ELIGIBLE_DISCRETIONARY,0,Id,4101,3,both,eligible_discretionary,remuneracao,yes,
dbo.EmployeeAccessGroup,dbo__EmployeeAccessGroup,dbo,EmployeeAccessGroup,colaborador,FACT,FACT_EMPLOYEE_ACCESS_GROUP,0,Id,144,5496,both,employee_access_group,colaborador,yes,
dbo.EmployeeAnalyticResult,dbo__EmployeeAnalyticResult,dbo,EmployeeAnalyticResult,remuneracao,FACT,FACT_EMPLOYEE_ANALYTIC_RESULT,0,Id,4090,10254,both,employee_analytic_result,remuneracao,yes,
dbo.EmployeeBranch,dbo__EmployeeBranch,dbo,EmployeeBranch,colaborador,DIM,DIM_EMPLOYEE_BRANCH,0,Id,184,94,both,employee_branch,colaborador,yes,
dbo.EmployeeGuest,dbo__EmployeeGuest,dbo,EmployeeGuest,unclassified,DEFER,,0,Id,0,0,none,,,no,
dbo.EmployeeModifierMonthlyGoal,dbo__EmployeeModifierMonthlyGoal,dbo,EmployeeModifierMonthlyGoal,unclassified,DEFER,,0,Id,0,0,none,,,no,
dbo.EmployeeModifierMonthlyValue,dbo__EmployeeModifierMonthlyValue,dbo,EmployeeModifierMonthlyValue,unclassified,DEFER,,0,Id,0,0,none,,,no,
dbo.EmployeeModifierValue,dbo__EmployeeModifierValue,dbo,EmployeeModifierValue,colaborador,FACT,FACT_EMPLOYEE_MODIFIER_VALUE,0,Id,2052,5019,both,employee_modifier_value,colaborador,yes,
dbo.EvaluationCycleInstance,dbo__EvaluationCycleInstance,dbo,EvaluationCycleInstance,avaliacao,DIM,DIM_EVALUATION_CYCLE_INSTANCE,0,Id,453,0,afya,evaluation_cycle_instance,avaliacao,yes,
dbo.EvaluationCycleInstanceParticipant,dbo__EvaluationCycleInstanceParticipant,dbo,EvaluationCycleInstanceParticipant,avaliacao,FACT,FACT_EVALUATION_CYCLE_INSTANCE_PARTICIPANT,0,Id,14997,0,afya,evaluation_cycle_instance_participant,avaliacao,yes,
dbo.EvaluationCycleQuadrant,dbo__EvaluationCycleQuadrant,dbo,EvaluationCycleQuadrant,avaliacao,DIM,DIM_EVALUATION_CYCLE_QUADRANT,0,Id,111,0,afya,evaluation_cycle_quadrant,avaliacao,yes,
dbo.EvaluationCycleQuadrantPersonalization,dbo__EvaluationCycleQuadrantPersonalization,dbo,EvaluationCycleQuadrantPersonalization,avaliacao,DEFER,,0,Id,0,0,none,evaluation_cycle_quadrant_personalization,avaliacao,yes,
dbo.EvaluationDiscretionary,dbo__EvaluationDiscretionary,dbo,EvaluationDiscretionary,colaborador,FACT,FACT_EVALUATION_DISCRETIONARY,0,Id,4030,3,both,evaluation_discretionary,colaborador,yes,
dbo.ExtractControl,dbo__ExtractControl,dbo,ExtractControl,metricas,DEFER,,0,Id,0,0,none,extract_control,metricas,yes,
dbo.ExtractEmployeeOptions,dbo__ExtractEmployeeOptions,dbo,ExtractEmployeeOptions,remuneracao,DEFER,,0,Id,0,0,none,extract_employee_options,remuneracao,yes,
dbo.ExtractMigration,dbo__ExtractMigration,dbo,ExtractMigration,unclassified,DEFER,,0,Id,0,0,none,,,no,
dbo.FAIXA_CLASSIFICACAO,dbo__FAIXA_CLASSIFICACAO,dbo,FAIXA_CLASSIFICACAO,metricas,DEFER,,0,ID,0,0,none,faixa_classificacao,metricas,yes,
dbo.FAIXA_CLASSIFICACAO_PERFORMANCE,dbo__FAIXA_CLASSIFICACAO_PERFORMANCE,dbo,FAIXA_CLASSIFICACAO_PERFORMANCE,metricas,DEFER,,0,ID,0,0,none,faixa_classificacao_performance,metricas,yes,
dbo.FAIXA_FAROL,dbo__FAIXA_FAROL,dbo,FAIXA_FAROL,metricas,DIM,DIM_FAIXA_FAROL,0,ID,2,2,both,faixa_farol,metricas,yes,
dbo.FAIXA_FAROL_ITEM,dbo__FAIXA_FAROL_ITEM,dbo,FAIXA_FAROL_ITEM,metricas,BRIDGE,BRG_FAIXA_FAROL_ITEM,0,ID,7,6,both,faixa_farol_item,metricas,yes,
