erp_key,bronze_table,domain,dimensional_role,layer_path,raw_object,staging_object,edw_object,mart_object,localdrawdb_layer,localdrawdb_group,note
dbo.ProfessionalExperience,dbo__ProfessionalExperience,colaborador,DIM,raw+staging+edw,raw.dbo__ProfessionalExperience,staging.stg_colaborador_professionalexperience,edw.dim_professional_experience,,edw,dimensional,DIM → edw.dim_professional_experience
dbo.ProfileEditPermission,dbo__ProfileEditPermission,colaborador,DIM,raw+staging+edw,raw.dbo__ProfileEditPermission,staging.stg_colaborador_profileeditpermission,edw.dim_profile_edit_permission,,edw,dimensional,DIM → edw.dim_profile_edit_permission
dbo.QUICK_MEETING,dbo__QUICK_MEETING,acao,DEFER,raw+edw_stub,raw.dbo__QUICK_MEETING,staging.stg_acao_quick_meeting,edw.defer_quick_meeting,,raw,ingestao_acao,DEFER — stub EDW; sem dados piloto
dbo.QualificationCenterConfig,dbo__QualificationCenterConfig,pdi,DEFER,raw+edw_stub,raw.dbo__QualificationCenterConfig,staging.stg_pdi_qualificationcenterconfig,edw.defer_qualificationcenterconfig,,raw,ingestao_pdi,DEFER — stub EDW; sem dados piloto
dbo.QualificationManager,dbo__QualificationManager,pdi,DEFER,raw+edw_stub,raw.dbo__QualificationManager,staging.stg_pdi_qualificationmanager,edw.defer_qualificationmanager,,raw,ingestao_pdi,DEFER — stub EDW; sem dados piloto
dbo.QualificationManagersSubordinates,dbo__QualificationManagersSubordinates,pdi,DEFER,raw+edw_stub,raw.dbo__QualificationManagersSubordinates,staging.stg_pdi_qualificationmanagerssubordinates,edw.defer_qualificationmanagerssubordinates,,raw,ingestao_pdi,DEFER — stub EDW; sem dados piloto
dbo.Question,dbo__Question,avaliacao,DEFER,raw+edw_stub,raw.dbo__Question,staging.stg_avaliacao_question,edw.defer_question,,raw,ingestao_avaliacao,DEFER — stub EDW; sem dados piloto
dbo.QuestionsEffectivenessEvaluations,dbo__QuestionsEffectivenessEvaluations,avaliacao,DEFER,raw+edw_stub,raw.dbo__QuestionsEffectivenessEvaluations,staging.stg_avaliacao_questionseffectivenessevaluations,edw.defer_questionseffectivenessevaluations,,raw,ingestao_avaliacao,DEFER — stub EDW; sem dados piloto
dbo.QuestionsReactionEvaluations,dbo__QuestionsReactionEvaluations,avaliacao,DEFER,raw+edw_stub,raw.dbo__QuestionsReactionEvaluations,staging.stg_avaliacao_questionsreactionevaluations,edw.defer_questionsreactionevaluations,,raw,ingestao_avaliacao,DEFER — stub EDW; sem dados piloto
dbo.RECURRING_JOB,dbo__RECURRING_JOB,acao,DIM,raw+staging+edw,raw.dbo__RECURRING_JOB,staging.stg_acao_recurring_job,edw.dim_recurring_job,,edw,dimensional,DIM → edw.dim_recurring_job
dbo.RECURRING_JOB_LOG,dbo__RECURRING_JOB_LOG,unclassified,DEFER,raw+edw_stub,raw.dbo__RECURRING_JOB_LOG,staging.stg_erp_recurring_job_log,edw.defer_recurring_job_log,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.REFERENCIA_CAUSA,dbo__REFERENCIA_CAUSA,unclassified,DEFER,raw+edw_stub,raw.dbo__REFERENCIA_CAUSA,staging.stg_erp_referencia_causa,edw.defer_referencia_causa,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.REFERENCIA_CONTRAMEDIDA,dbo__REFERENCIA_CONTRAMEDIDA,acao,DEFER,raw+edw_stub,raw.dbo__REFERENCIA_CONTRAMEDIDA,staging.stg_acao_referencia_contramedida,edw.defer_referencia_contramedida,,raw,ingestao_acao,DEFER — stub EDW; sem dados piloto
dbo.RESPOSTA_AVALIACAO_SUCESSAO,dbo__RESPOSTA_AVALIACAO_SUCESSAO,avaliacao,DEFER,raw+edw_stub,raw.dbo__RESPOSTA_AVALIACAO_SUCESSAO,staging.stg_avaliacao_resposta_avaliacao_sucessao,edw.defer_resposta_avaliacao_sucessao,,raw,ingestao_avaliacao,DEFER — stub EDW; sem dados piloto
dbo.RESPOSTA_COMENTARIO,dbo__RESPOSTA_COMENTARIO,unclassified,DEFER,raw+edw_stub,raw.dbo__RESPOSTA_COMENTARIO,staging.stg_erp_resposta_comentario,edw.defer_resposta_comentario,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.RESPOSTA_COMPORTAMENTO,dbo__RESPOSTA_COMPORTAMENTO,unclassified,DEFER,raw+edw_stub,raw.dbo__RESPOSTA_COMPORTAMENTO,staging.stg_erp_resposta_comportamento,edw.defer_resposta_comportamento,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.RESPOSTA_PULSE_FEEDBACK_CONTINUO,dbo__RESPOSTA_PULSE_FEEDBACK_CONTINUO,avaliacao,DEFER,raw+edw_stub,raw.dbo__RESPOSTA_PULSE_FEEDBACK_CONTINUO,staging.stg_avaliacao_resposta_pulse_feedback_continuo,edw.defer_resposta_pulse_feedback_continuo,,raw,ingestao_avaliacao,DEFER — stub EDW; sem dados piloto
dbo.REUNIAO,dbo__REUNIAO,acao,DEFER,raw+edw_stub,raw.dbo__REUNIAO,staging.stg_acao_reuniao,edw.defer_reuniao,,raw,ingestao_acao,DEFER — stub EDW; sem dados piloto
dbo.REUNIAO_PAUSE,dbo__REUNIAO_PAUSE,acao,DEFER,raw+edw_stub,raw.dbo__REUNIAO_PAUSE,staging.stg_acao_reuniao_pause,edw.defer_reuniao_pause,,raw,ingestao_acao,DEFER — stub EDW; sem dados piloto
dbo.RISCO,dbo__RISCO,sucessao,DEFER,raw+edw_stub,raw.dbo__RISCO,staging.stg_sucessao_risco,edw.defer_risco,,raw,ingestao_sucessao,DEFER — stub EDW; sem dados piloto
dbo.RangeDiscretionary,dbo__RangeDiscretionary,metricas,DIM,raw+staging+edw,raw.dbo__RangeDiscretionary,staging.stg_metricas_rangediscretionary,edw.dim_range_discretionary,,edw,dimensional,DIM → edw.dim_range_discretionary
dbo.ReactionEvaluation,dbo__ReactionEvaluation,avaliacao,DEFER,raw+edw_stub,raw.dbo__ReactionEvaluation,staging.stg_avaliacao_reactionevaluation,edw.defer_reactionevaluation,,raw,ingestao_avaliacao,DEFER — stub EDW; sem dados piloto
dbo.Readiness,dbo__Readiness,sucessao,DIM,raw+staging+edw,raw.dbo__Readiness,staging.stg_sucessao_readiness,edw.dim_readiness,,edw,dimensional,DIM → edw.dim_readiness
dbo.RelUpperGoal,dbo__RelUpperGoal,metricas,DIM,raw+staging+edw,raw.dbo__RelUpperGoal,staging.stg_metricas_reluppergoal,edw.dim_rel_upper_goal,,edw,dimensional,DIM → edw.dim_rel_upper_goal
dbo.Response,dbo__Response,colaborador,DEFER,raw+edw_stub,raw.dbo__Response,staging.stg_colaborador_response,edw.defer_response,,raw,ingestao_colaborador,DEFER — stub EDW; sem dados piloto
dbo.SECAO,dbo__SECAO,unclassified,DEFER,raw+edw_stub,raw.dbo__SECAO,staging.stg_erp_secao,edw.defer_secao,,raw,ingestao_erp,DEFER — stub EDW; sem dados piloto
dbo.SQL_TRACE,dbo__SQL_TRACE,plataforma,EXCLUDE,raw,raw.dbo__SQL_TRACE,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
dbo.SYSTEM_CONFIG,dbo__SYSTEM_CONFIG,referencia,REF,raw+staging+edw,raw.dbo__SYSTEM_CONFIG,staging.stg_referencia_system_config,edw.ref_system_config,,edw,ref,REF → edw.ref_system_config
dbo.ScoreCurveImpactSuccession,dbo__ScoreCurveImpactSuccession,sucessao,DEFER,raw+edw_stub,raw.dbo__ScoreCurveImpactSuccession,staging.stg_sucessao_scorecurveimpactsuccession,edw.defer_scorecurveimpactsuccession,,raw,ingestao_sucessao,DEFER — stub EDW; sem dados piloto
dbo.ScoreCurveRiskSuccession,dbo__ScoreCurveRiskSuccession,sucessao,DEFER,raw+edw_stub,raw.dbo__ScoreCurveRiskSuccession,staging.stg_sucessao_scorecurverisksuccession,edw.defer_scorecurverisksuccession,,raw,ingestao_sucessao,DEFER — stub EDW; sem dados piloto
dbo.ScoreCurveSuccession,dbo__ScoreCurveSuccession,sucessao,DEFER,raw+edw_stub,raw.dbo__ScoreCurveSuccession,staging.stg_sucessao_scorecurvesuccession,edw.defer_scorecurvesuccession,,raw,ingestao_sucessao,DEFER — stub EDW; sem dados piloto
dbo.ScoreValuesRV,dbo__ScoreValuesRV,metricas,FACT,raw+staging+edw,raw.dbo__ScoreValuesRV,staging.stg_metricas_scorevaluesrv,edw.fact_score_values_rv,,edw,fatos,FACT → edw.fact_score_values_rv
dbo.ServerCachePreferencesManagementCycle,dbo__ServerCachePreferencesManagementCycle,colaborador,DIM,raw+staging+edw,raw.dbo__ServerCachePreferencesManagementCycle,staging.stg_colaborador_servercachepreferencesmanagementcycle,edw.dim_server_cache_preferences_management_cycle,,edw,dimensional,DIM → edw.dim_server_cache_preferences_management_cycle
dbo.SidebarItem,dbo__SidebarItem,plataforma,EXCLUDE,raw,raw.dbo__SidebarItem,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
dbo.SidebarItemFavorite,dbo__SidebarItemFavorite,plataforma,EXCLUDE,raw,raw.dbo__SidebarItemFavorite,,,,raw,exclude,EXCLUDE — sem EDW (ADR-006)
