silver_domain,silver_table,bronze,erp_key,dimensional_role,reuse_action,snowflake_candidate,grain,row_count_afya,row_count_allos,status,wave,notes
avaliacao,evaluation_cycle_calc_result_evaluated,competences__EvaluationCycleCalcResultEvaluated,competences.EvaluationCycleCalcResultEvaluated,FACT,REUSE_AS_FACT,FACT_EVALUATION_CYCLE_CALC_RESULT_EVALUATED,,14466,12585,implemented,3,
avaliacao,faixa_classificacao_avaliacao,competences__FAIXA_CLASSIFICACAO_AVALIACAO,competences.FAIXA_CLASSIFICACAO_AVALIACAO,DIM,REUSE_AS_DIM,DIM_FAIXA_CLASSIFICACAO_AVALIACAO,,37,65,implemented,3,
avaliacao,faixa_classificacao_performance_avaliacao,competences__FAIXA_CLASSIFICACAO_PERFORMANCE_AVALIACAO,competences.FAIXA_CLASSIFICACAO_PERFORMANCE_AVALIACAO,DIM,REUSE_AS_DIM,DIM_FAIXA_CLASSIFICACAO_PERFORMANCE_AVALIACAO,,36,0,implemented,3,
avaliacao,fator_avaliacao,competences__FATOR_AVALIACAO,competences.FATOR_AVALIACAO,DIM,REUSE_AS_DIM,DIM_FATOR_AVALIACAO,,400,112,implemented,3,
avaliacao,funcao_competencia,competences__FUNCAO_COMPETENCIA,competences.FUNCAO_COMPETENCIA,FACT,REUSE_AS_FACT,FACT_FUNCAO_COMPETENCIA,,2150,896,implemented,3,
avaliacao,funcao_pergunta_livre,competences__FUNCAO_PERGUNTA_LIVRE,competences.FUNCAO_PERGUNTA_LIVRE,FACT,REUSE_AS_FACT,FACT_FUNCAO_PERGUNTA_LIVRE,,1419,284,implemented,3,
avaliacao,itens_sender_to_release_appraisees_queue,competences__ItensSenderToReleaseAppraiseesQueue,competences.ItensSenderToReleaseAppraiseesQueue,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,localidade_interesse_mudanca_avaliado,competences__LOCALIDADE_INTERESSE_MUDANCA_AVALIADO,competences.LOCALIDADE_INTERESSE_MUDANCA_AVALIADO,DEFER,REFINE,,,0,0,implemented,3,
avaliacao,metodo_calculo,competences__METODO_CALCULO,competences.METODO_CALCULO,DIM,REUSE_AS_DIM,DIM_METODO_CALCULO,,73,131,implemented,3,
avaliacao,opcao_funcao_pergunta_livre,competences__OPCAO_FUNCAO_PERGUNTA_LIVRE,competences.OPCAO_FUNCAO_PERGUNTA_LIVRE,FACT,REUSE_AS_FACT,FACT_OPCAO_FUNCAO_PERGUNTA_LIVRE,,3898,0,implemented,3,
