erp_key,bronze,diff_type,rows_staging,rows_afya,rows_allos,staging_only_data
dbo.AUDIT_COLABORADOR_AREA,dbo__AUDIT_COLABORADOR_AREA,present_both,18954,50000,50000,no
dbo.AUDIT_COLABORADOR_FUNCAO,dbo__AUDIT_COLABORADOR_FUNCAO,present_both,512,132,11638,no
dbo.AUDIT_COMPETENCIA,dbo__AUDIT_COMPETENCIA,present_both,0,0,0,no
dbo.AUDIT_CONSIDERACAO_FINAL,dbo__AUDIT_CONSIDERACAO_FINAL,present_both,0,0,0,no
dbo.AUDIT_COTACAO_MOEDA,dbo__AUDIT_COTACAO_MOEDA,present_both,0,0,0,no
dbo.AUDIT_COTACAO_MOEDA_ITEM,dbo__AUDIT_COTACAO_MOEDA_ITEM,present_both,0,0,0,no
dbo.AUDIT_CURVA_PONTUACAO,dbo__AUDIT_CURVA_PONTUACAO,present_both,0,0,0,no
dbo.AUDIT_CURVA_PONTUACAO_AVALIACAO,dbo__AUDIT_CURVA_PONTUACAO_AVALIACAO,present_both,0,0,0,no
dbo.AUDIT_CURVA_PREMIACAO,dbo__AUDIT_CURVA_PREMIACAO,present_both,3259,90,54,no
dbo.AUDIT_DIRETRIZ,dbo__AUDIT_DIRETRIZ,present_both,717,675,27,no
dbo.AUDIT_EMPLOYEEACCESSGROUP,dbo__AUDIT_EMPLOYEEACCESSGROUP,present_both,2827,676,8390,no
dbo.AUDIT_FAIXA_CLASSIFICACAO,dbo__AUDIT_FAIXA_CLASSIFICACAO,present_both,0,0,0,no
dbo.AUDIT_FAIXA_CLASSIFICACAO_AVALIACAO,dbo__AUDIT_FAIXA_CLASSIFICACAO_AVALIACAO,present_both,0,0,0,no
dbo.AUDIT_FAIXA_CLASSIFICACAO_PERFORMANCE,dbo__AUDIT_FAIXA_CLASSIFICACAO_PERFORMANCE,present_both,0,0,0,no
dbo.AUDIT_FAIXA_CLASSIFICACAO_PERFORMANCE_AVALIACAO,dbo__AUDIT_FAIXA_CLASSIFICACAO_PERFORMANCE_AVALIACAO,present_both,0,0,0,no
dbo.AUDIT_FAIXA_FAROL,dbo__AUDIT_FAIXA_FAROL,present_both,178,16,82,no
dbo.AUDIT_FAIXA_FAROL_ITEM,dbo__AUDIT_FAIXA_FAROL_ITEM,present_both,474,63,274,no
dbo.AUDIT_FATOR_AVALIACAO,dbo__AUDIT_FATOR_AVALIACAO,present_both,0,0,0,no
dbo.AUDIT_FILIAL,dbo__AUDIT_FILIAL,present_both,19,101,286,no
dbo.AUDIT_FUNCAO,dbo__AUDIT_FUNCAO,present_both,0,0,0,no
dbo.AUDIT_FUNCAO_COMPETENCIA,dbo__AUDIT_FUNCAO_COMPETENCIA,present_both,4397,665,1670,no
dbo.AUDIT_FUNCAO_PERGUNTA_LIVRE,dbo__AUDIT_FUNCAO_PERGUNTA_LIVRE,present_both,310,2612,340,no
dbo.AUDIT_GRANDEZA,dbo__AUDIT_GRANDEZA,present_both,3,18,18,no
dbo.AUDIT_GRUPO_INDICADOR,dbo__AUDIT_GRUPO_INDICADOR,present_both,0,0,0,no
dbo.AUDIT_HISTORICO_CARGO,dbo__AUDIT_HISTORICO_CARGO,present_both,776,50000,37865,no
dbo.AUDIT_HISTORICO_PDI,dbo__AUDIT_HISTORICO_PDI,present_both,0,0,0,no
dbo.AUDIT_INDICADOR,dbo__AUDIT_INDICADOR,present_both,479,170,2958,no
dbo.AUDIT_INSTANCIA,dbo__AUDIT_INSTANCIA,present_both,0,0,0,no
dbo.AUDIT_INSTANCIA_CALIBRADOS,dbo__AUDIT_INSTANCIA_CALIBRADOS,present_both,0,0,0,no
dbo.AUDIT_INSTANCIA_CALIBRADOS_PERFORMANCE,dbo__AUDIT_INSTANCIA_CALIBRADOS_PERFORMANCE,present_both,0,0,0,no
dbo.AUDIT_INSTANCIA_COMITE,dbo__AUDIT_INSTANCIA_COMITE,present_both,0,0,0,no
dbo.AUDIT_MARCADOR_ACAO,dbo__AUDIT_MARCADOR_ACAO,present_both,0,0,0,no
dbo.AUDIT_META,dbo__AUDIT_META,present_both,71946,50000,50000,no
dbo.AUDIT_NINE_BOX,dbo__AUDIT_NINE_BOX,present_both,0,0,0,no
dbo.AUDIT_NINE_BOX_CALIBRADOS,dbo__AUDIT_NINE_BOX_CALIBRADOS,present_both,0,0,0,no
dbo.AUDIT_NOTA_META,dbo__AUDIT_NOTA_META,present_both,2546,23415,50000,no
dbo.AUDIT_PDI,dbo__AUDIT_PDI,present_both,0,0,0,no
dbo.AUDIT_PERIODO_APURACAO,dbo__AUDIT_PERIODO_APURACAO,present_both,635,335,148,no
dbo.AUDIT_PERIODO_GESTAO,dbo__AUDIT_PERIODO_GESTAO,present_both,1385,158,177,no
dbo.AUDIT_PSW_COLABORADOR,dbo__AUDIT_PSW_COLABORADOR,present_both,3611,12518,10063,no
dbo.AUDIT_QUADRANTES_MATRIZ_TALENTOS,dbo__AUDIT_QUADRANTES_MATRIZ_TALENTOS,present_both,0,0,0,no
dbo.AUDIT_RESPOSTA_AVALIACAO,dbo__AUDIT_RESPOSTA_AVALIACAO,present_both,0,0,0,no
dbo.AUDIT_RESPOSTA_LIVRE_AVALIACAO,dbo__AUDIT_RESPOSTA_LIVRE_AVALIACAO,present_both,0,0,0,no
dbo.AUDIT_SYSTEM_CONFIG,dbo__AUDIT_SYSTEM_CONFIG,present_both,122,55,61,no
dbo.AUDIT_TERMO_ACEITE_ASSINATURA,dbo__AUDIT_TERMO_ACEITE_ASSINATURA,present_both,9211,50000,50000,no
dbo.AUDIT_TIPO_AVALIACAO,dbo__AUDIT_TIPO_AVALIACAO,present_both,0,0,0,no
dbo.AUDIT_UNIDADE_MEDIDA,dbo__AUDIT_UNIDADE_MEDIDA,present_both,71,72,199,no
dbo.AUDIT_VALOR_META,dbo__AUDIT_VALOR_META,present_both,62690,50000,50000,no
dbo.AVALIACAO_CONTINUA,dbo__AVALIACAO_CONTINUA,present_both,10,0,0,yes
dbo.AVALIADOR_FORUM,dbo__AVALIADOR_FORUM,present_both,99,5449,0,no
dbo.AVALIADOR_FORUM_SUCESSAO,dbo__AVALIADOR_FORUM_SUCESSAO,present_both,13,1,0,no
dbo.AVALIADO_SUCESSAO,dbo__AVALIADO_SUCESSAO,present_both,42,1,0,no
dbo.AbpEntityChangeSets,dbo__AbpEntityChangeSets,present_both,38130,50000,50000,no
dbo.AbpEntityChanges,dbo__AbpEntityChanges,present_both,75463,50000,50000,no
dbo.AbpEntityPropertyChanges,dbo__AbpEntityPropertyChanges,present_both,252557,50000,50000,no
dbo.AbpSettings,dbo__AbpSettings,present_both,172,8690,4475,no
dbo.Absence,dbo__Absence,present_both,1,0,0,yes
dbo.AcceptAgreementHistory,dbo__AcceptAgreementHistory,present_both,1061,31098,1913,no
dbo.AcceptAgreementSignatureAttachment,dbo__AcceptAgreementSignatureAttachment,present_both,2,1,0,no
dbo.ActionBase,dbo__ActionBase,present_both,158,10762,10592,no
dbo.ActionBaseAttachment,dbo__ActionBaseAttachment,present_both,0,0,0,no
dbo.ActionBaseLabel,dbo__ActionBaseLabel,present_both,1,28,0,no
dbo.ActionCategoryCompetence,dbo__ActionCategoryCompetence,present_both,0,0,0,no
dbo.ActionEffectiveness,dbo__ActionEffectiveness,present_both,0,0,0,no
dbo.ActionVote,dbo__ActionVote,present_both,0,0,0,no
dbo.ActivityHistory,dbo__ActivityHistory,present_both,32867,5667,21,no
dbo.Addon,dbo__Addon,present_both,1,1,1,no
dbo.AdminPasswordResetToken,dbo__AdminPasswordResetToken,present_both,12,0,13,no
dbo.AdvancePaymentConfig,dbo__AdvancePaymentConfig,present_both,3,0,0,yes
dbo.AreaHistory,dbo__AreaHistory,present_both,2689,11579,11037,no
dbo.AreaHistoryConfig,dbo__AreaHistoryConfig,present_both,11,1,0,no
dbo.AreaScoreRV,dbo__AreaScoreRV,present_both,0,0,0,no
dbo.AreasGroup,dbo__AreasGroup,present_both,2,0,0,yes
dbo.AreasGroupItem,dbo__AreasGroupItem,present_both,2,0,0,yes
dbo.AreasGroupScoreAreasMemoryRV,dbo__AreasGroupScoreAreasMemoryRV,present_both,0,0,0,no
dbo.AreasGroupScoreRV,dbo__AreasGroupScoreRV,present_both,0,0,0,no
dbo.ArvoreMembrosQuebra,dbo__ArvoreMembrosQuebra,present_both,124,0,0,yes
dbo.AspNetPreviousPassword,dbo__AspNetPreviousPassword,present_both,576,679,1260,no
dbo.AspNetRoles,dbo__AspNetRoles,present_both,0,0,0,no
dbo.AspNetUserClaims,dbo__AspNetUserClaims,present_both,0,0,0,no
dbo.AspNetUserLogins,dbo__AspNetUserLogins,present_both,0,0,0,no
dbo.AspNetUserRoles,dbo__AspNetUserRoles,present_both,0,0,0,no
dbo.AspNetUsers,dbo__AspNetUsers,present_both,813,12396,8308,no
dbo.BIBLIOTECA,dbo__BIBLIOTECA,present_both,1,1,1,no
dbo.BKP_ACAO,dbo__BKP_ACAO,present_both,0,0,0,no
dbo.BKP_ACAO2,dbo__BKP_ACAO2,present_both,0,0,0,no
dbo.BOOK,dbo__BOOK,present_both,7,0,0,yes
dbo.BackgroundJobManagement,dbo__BackgroundJobManagement,present_both,2360,1933,4118,no
dbo.Breakdown,dbo__Breakdown,missing_table_in_staging,0,0,0,no
dbo.BreakdownValue,dbo__BreakdownValue,missing_table_in_staging,0,0,0,no
dbo.BreakdownValueOption,dbo__BreakdownValueOption,missing_table_in_staging,0,0,0,no
dbo.BrfGoalSyncLog,dbo__BrfGoalSyncLog,missing_table_in_staging,0,0,0,no
dbo.CALCULO_MANUAL_PERFORMANCE,dbo__CALCULO_MANUAL_PERFORMANCE,present_both,0,0,0,no
dbo.CALC_RESULTADO_AVALIADOR_TIPO_COMPETENCIA,dbo__CALC_RESULTADO_AVALIADOR_TIPO_COMPETENCIA,present_both,55,0,0,yes
dbo.CALC_RESULTADO_IMPACTO,dbo__CALC_RESULTADO_IMPACTO,present_both,17,0,0,yes
dbo.CALC_RESULTADO_POTENCIAL,dbo__CALC_RESULTADO_POTENCIAL,present_both,0,0,0,no
dbo.CALC_RESULTADO_PROJETO,dbo__CALC_RESULTADO_PROJETO,present_both,0,0,0,no
dbo.CALC_RESULTADO_RISCO,dbo__CALC_RESULTADO_RISCO,present_both,17,0,0,yes
dbo.CALC_RESULTADO_TIPO_AVALIADOR_TIPO_COMPETENCIA,dbo__CALC_RESULTADO_TIPO_AVALIADOR_TIPO_COMPETENCIA,present_both,55,0,0,yes
dbo.CALENDARIO_EVENTO,dbo__CALENDARIO_EVENTO,present_both,0,0,0,no
dbo.CALIBRADOS_PERFORMANCE,dbo__CALIBRADOS_PERFORMANCE,present_both,42,0,0,yes
dbo.CARGO,dbo__CARGO,present_both,79,50000,41,no
dbo.CATCH_BALL,dbo__CATCH_BALL,present_both,3,0,1,no
dbo.CATCH_BALL_BOOK,dbo__CATCH_BALL_BOOK,present_both,0,0,0,no
dbo.CAUSA,dbo__CAUSA,present_both,304,23,2,no
dbo.CAUSA_BOOK,dbo__CAUSA_BOOK,present_both,0,0,0,no
dbo.CODE_GENERATOR,dbo__CODE_GENERATOR,present_both,146,17,26,no
dbo.COLABORADOR,dbo__COLABORADOR,present_both,824,12408,8765,no
dbo.COLABORADOR_AREA,dbo__COLABORADOR_AREA,present_both,9480,34206,20593,no
dbo.COLABORADOR_DATA_EXTRACT,dbo__COLABORADOR_DATA_EXTRACT,present_both,216,0,0,yes
dbo.COLABORADOR_SCORE,dbo__COLABORADOR_SCORE,present_both,245,0,0,yes
dbo.COMENTARIO,dbo__COMENTARIO,present_both,0,0,0,no
dbo.COMENTARIO_AVALIADO_FORUM_SUCESSAO,dbo__COMENTARIO_AVALIADO_FORUM_SUCESSAO,present_both,4,0,0,yes
